kode_provinsi,nama_provinsi,luas
11,Aceh,56835.019
12,Sumatera Utara,72437.755
13,Sumatera Barat,42107.674
14,Riau,89900.78
15,Jambi,49023.037
16,Sumatera Selatan,86771.918
17,Bengkulu,20122.21
18,Lampung,33570.758
19,Kepulauan Bangka Belitung,16670.225
21,Kepulauan Riau,8170.375
32,Jawa Barat,37053.331
33,Jawa Tengah,34347.428
34,Daerah Istimewa Yogyakarta,3170.363
35,Jawa Timur,48055.876
36,Banten,9355.763
51,Bali,5582.827
52,Nusa Tenggara Barat,19631.991
53,Nusa Tenggara Timur,46378.105
61,Kalimantan Barat,147018.063
62,Kalimantan Tengah,153430.363
63,Kalimantan Selatan,37125.426
64,Kalimantan Timur,126951.758
65,Kalimantan Utara,69900.886
71,Sulawesi Utara,14488.429
72,Sulawesi Tengah,61496.983
73,Sulawesi Selatan,45323.975
74,Sulawesi Tenggara,36139.303
75,Gorontalo,12024.982
76,Sulawesi Barat,16590.667
81,Maluku,46133.832
82,Maluku Utara,31465.977
91,Papua,81383.315
92,Papua Barat,60308.59
93,Papua Selatan,117858.969
94,Papua Tengah,61079.587
95,Papua Pegunungan,52508.656
96,Papua Barat Daya,39103.058
